id,account_state,risk_level,date_of_birth,state,zipcode,platform,created_at
330640,complete,1,1984-09-15,NY,14456,ios,2016-07-13 22:05:03.161119
330644,complete,2,1994-09-21,TN,37821,android,2016-07-13 22:06:11.997425
330628,complete,1,1981-11-24,NJ,07801,android,2016-07-13 22:06:30.39586
330647,complete,2,1975-10-28,NC,27604,ios,2016-07-13 22:07:32.934581
330695,complete,2,1977-05-20,AZ,85208,android,2016-07-13 22:28:26.974677
330637,complete,1,1991-04-05,GA,30044,android,2016-07-13 22:10:06.011799
330651,complete,2,1985-01-28,NV,89110,android,2016-07-13 22:09:50.558065
284172,complete,1,1983-09-16,NY,10305,ios,2016-06-24 22:51:59.822659
332033,complete,2,1966-06-25,NC,28451,ios,2016-07-14 11:16:27.527917
17219,complete,2,1985-02-23,MO,64772,ios,2016-06-17 23:27:44.486596
17137,complete,2,1991-09-10,TX,78201,ios,2016-06-01 08:13:45.194401
13404,complete,2,1992-03-03,CO,81419,ios,2016-06-10 19:45:14.231749
330654,complete,1,1977-10-19,FL,33612,android,2016-07-13 22:11:56.602922
332042,complete,2,1986-03-22,MI,49348,android,2016-07-14 11:20:02.96117
330658,complete,1,1997-03-20,NY,11691,ios,2016-07-13 22:12:50.158776
332040,complete,1,1993-10-21,CT,06851,android,2016-07-14 11:20:42.007279
335609,complete,1,1980-06-10,PA,18504,android,2016-07-15 18:53:44.950323
330649,complete,1,1989-03-09,CA,91767,android,2016-07-13 22:18:56.544281
330662,complete,2,1963-01-25,WA,98370,ios,2016-07-13 22:15:39.55456
330645,complete,2,1992-08-08,MO,63146,ios,2016-07-13 22:16:18.444525
330660,complete,1,1996-09-04,SC,29072,ios,2016-07-13 22:16:45.323494
330666,complete,1,1995-01-15,MA,02132,ios,2016-07-13 22:17:43.728973
330663,complete,1,1991-11-21,MO,63118,android,2016-07-13 22:19:03.025515
17558,complete,2,1992-06-03,LA,71106,ios,2016-07-08 21:54:26.47015
334103,complete,2,1982-08-09,CA,92808,android,2016-07-15 02:51:14.828919
330678,complete,1,1995-03-03,CA,92037,ios,2016-07-13 22:20:53.206394
330635,closed,2,1978-07-07,NY,13471,android,2016-07-13 22:22:03.957908
268766,closed,1,1993-12-22,NY,10458,ios,2016-06-07 14:27:32.415236
27250,complete,2,1985-12-03,CA,93460,ios,2016-06-23 23:07:34.017063
330675,complete,1,1993-11-29,CA,95823,ios,2016-07-13 22:22:30.643866
334107,closed,1,1988-04-22,CA,95356,ios,2016-07-15 02:51:53.693669
332379,complete,1,1997-08-06,FL,34470,android,2016-07-14 15:20:45.356721
271517,complete,1,1993-04-25,IN,46226,ios,2016-06-10 21:42:19.720159
330679,complete,1,1965-09-28,MA,02790,android,2016-07-13 22:25:43.457639
332382,closed,2,1984-10-20,TN,37379,ios,2016-07-14 15:22:13.654839
330659,complete,2,1997-05-19,MN,55433,android,2016-07-13 22:27:03.900705
330681,complete,1,1995-07-10,IN,46208,ios,2016-07-13 22:27:12.639074
68785,complete,2,1994-05-12,AL,35226,ios,2016-07-25 12:35:51.016944
330692,complete,3,1977-05-02,NC,27587,ios,2016-07-13 22:27:54.65143
284282,complete,1,1977-08-24,AZ,85029,android,2016-06-24 23:14:43.359043
334790,complete,1,1982-06-16,MO,65616,ios,2016-07-15 07:08:40.108734
284285,complete,2,1977-05-04,CT,06798,ios,2016-06-24 23:10:15.980225
34882,complete,2,1984-01-26,GA,30809,ios,2016-06-26 03:44:59.619996
330701,complete,2,1994-11-22,MA,02421,ios,2016-07-13 22:29:07.294115
332375,complete,1,1990-03-09,TX,76244,android,2016-07-14 15:24:58.329278
330674,complete,2,1981-06-19,NC,28278,android,2016-07-13 22:28:24.943042
45436,complete,2,1988-05-02,HI,96713,ios,2016-06-01 00:59:48.684768
330696,complete,2,1976-05-30,OH,44111,android,2016-07-13 22:30:06.780443
330688,complete,2,1963-10-26,TX,79904,android,2016-07-13 22:31:29.267716
330703,complete,3,1989-03-19,NJ,08081,android,2016-07-13 22:47:03.06516
53976,complete,1,1987-11-12,TX,77584,ios,2016-06-23 21:42:17.062663
282625,complete,2,1980-04-03,OK,74137,android,2016-06-23 20:57:43.095794
50883,complete,1,1998-04-20,MO,64014,ios,2016-07-24 16:11:06.231262
332390,complete,1,1993-12-30,FL,33056,ios,2016-07-14 15:26:12.191244
330704,complete,1,1998-03-11,IL,60030,android,2016-07-13 22:31:21.69528
330682,complete,1,1995-10-24,NY,13090,android,2016-07-13 22:31:06.664864
330707,complete,2,1994-03-30,SC,29627,android,2016-07-13 22:38:06.009251
332384,complete,2,1993-03-05,MN,55446,ios,2016-07-14 15:43:02.213017
330620,complete,2,1978-08-09,NJ,07304,ios,2016-07-13 22:32:50.501155
282647,complete,2,1987-01-09,WI,54304,android,2016-06-23 21:24:32.227018
330709,complete,2,1978-01-06,NC,27519,android,2016-07-13 22:36:46.583136
332376,complete,2,1993-01-05,UT,84015,ios,2016-07-14 15:28:52.636106
31088,complete,1,1987-12-25,MD,20785,ios,2016-07-01 22:41:23.937423
35723,complete,1,1993-05-20,CA,92870,ios,2016-07-01 17:03:32.891819
332389,complete,2,1989-11-29,IL,60490,ios,2016-07-14 15:30:52.585452
330722,complete,2,1980-04-16,MI,48082,android,2016-07-13 22:38:51.719432
330715,complete,2,1982-05-04,OR,97540,android,2016-07-13 22:38:58.071906
330728,complete,1,1990-04-10,TX,75650,ios,2016-07-13 22:43:23.972554
42061,complete,1,1991-07-12,GA,30909,ios,2016-07-13 22:40:43.603867
282689,complete,2,1995-01-05,TX,75248,ios,2016-06-23 21:54:22.039907
330721,complete,1,1992-02-09,NC,27572,ios,2016-07-13 22:45:58.077796
330718,complete,2,1988-03-24,OH,44236,android,2016-07-13 22:40:55.42876
330716,complete,2,1993-09-11,MA,01201,ios,2016-07-13 22:40:24.513507
282673,complete,1,1989-05-20,NJ,07052,ios,2016-06-23 21:42:44.000745
330717,closed,2,1990-10-15,TX,75087,android,2016-07-13 22:42:16.034962
332378,closed,2,1993-05-27,TX,79606,ios,2016-07-14 15:33:03.492746
330719,closed,2,1988-02-03,VA,20170,android,2016-07-13 22:42:31.455841
334808,complete,2,1981-05-12,TN,38115,ios,2016-07-15 07:33:17.485947
331198,complete,2,1983-02-23,NY,14207,android,2016-07-14 01:44:34.008292
330729,complete,1,1962-10-10,NV,89413,android,2016-07-13 22:43:51.890255
68960,complete,2,1970-01-13,FL,34786,ios,2016-07-01 18:53:41.2133
330730,complete,2,1992-01-11,VA,20152,android,2016-07-13 22:44:38.793673
282698,complete,1,1981-05-08,NC,28226,ios,2016-06-23 22:16:01.74635
337153,complete,2,1987-12-10,CA,92084,ios,2016-07-16 05:53:28.297107
283400,complete,1,1991-12-06,ID,83854,ios,2016-06-25 17:02:09.304615
282449,complete,1,1977-06-18,IN,46222,android,2016-06-24 02:38:20.965377
334804,complete,1,1996-05-12,GA,30087,android,2016-07-15 07:35:37.293354
283060,complete,1,1985-01-01,MA,02152,android,2016-06-24 02:41:17.327924
330732,complete,1,1996-02-06,NV,89015,android,2016-07-13 22:44:22.205713
330714,complete,2,1963-03-06,NH,03054,android,2016-07-13 22:45:36.798359
69193,complete,2,1978-02-23,TX,75650,ios,2016-07-01 20:39:46.047174
330751,complete,1,1991-04-09,KS,66090,ios,2016-07-13 22:57:31.197218
330735,complete,2,1965-02-22,WI,54494,ios,2016-07-13 22:46:38.437614
330743,complete,2,1979-05-31,AR,71701,android,2016-07-13 22:47:15.060611
107040,complete,1,1985-11-17,NV,89002,ios,2016-07-22 01:32:31.470896
330702,complete,1,1997-01-14,FL,34120,ios,2016-07-13 22:47:33.800412
330738,complete,2,1996-03-10,MI,48843,ios,2016-07-13 22:47:56.165507
332397,complete,3,1985-01-31,CA,95051,ios,2016-07-14 15:35:26.745831
330742,complete,1,1987-08-07,NJ,07732,ios,2016-07-13 22:48:23.074755
330737,complete,1,1951-09-21,KS,66441,android,2016-07-13 22:49:05.659921
330747,complete,1,1986-03-05,LA,70043,android,2016-07-13 22:49:53.350564
330733,complete,1,1997-09-10,MO,65486,android,2016-07-13 22:51:08.510898
282749,closed,2,1992-06-27,IL,60659,ios,2016-06-23 22:49:18.954389
330752,complete,2,1989-08-26,CA,90042,android,2016-07-13 22:52:43.925859
330736,in_closing_process,1,1992-11-03,NC,28726,ios,2016-07-13 22:53:53.55745
58449,complete,2,1987-07-30,LA,70068,ios,2016-06-24 19:30:52.99955
330761,complete,1,1988-11-10,OR,97123,ios,2016-07-13 22:55:14.830856
332407,complete,1,1990-08-21,MO,64060,android,2016-07-14 15:36:20.618327
330760,complete,2,1991-11-29,FL,33647,ios,2016-07-13 22:54:46.394825
81722,complete,1,1989-09-17,CA,93463,ios,2016-07-03 00:34:51.55554
59016,complete,1,1997-03-07,FL,33321,ios,2016-06-22 05:44:56.799254
59148,complete,2,1990-05-24,TX,76051,ios,2016-07-03 01:37:13.516009
81658,complete,2,1982-09-04,CA,92648,ios,2016-07-10 23:29:34.091941
330759,complete,2,1985-07-29,PA,16150,ios,2016-07-13 22:54:20.606381
330748,complete,1,1981-08-10,TX,76155,android,2016-07-13 22:55:14.274121
330745,complete,1,1964-07-11,NY,14094,android,2016-07-13 22:55:19.016777
332386,complete,2,1979-05-09,PA,19115,android,2016-07-14 15:40:11.546047
332402,complete,2,1994-06-28,CA,95008,ios,2016-07-14 15:37:40.03704
75066,complete,2,1994-09-15,GA,30260,ios,2016-06-13 01:51:03.961258
332409,complete,2,1985-02-08,NY,10459,android,2016-07-14 15:38:06.889991
107744,complete,3,1980-09-29,DC,20001,ios,2016-06-17 15:48:54.772517
116836,complete,2,1978-11-03,CA,90803,ios,2016-06-24 18:09:05.148915
330766,complete,1,1996-07-17,MA,02122,android,2016-07-13 22:57:50.073462
330750,closed,2,1989-07-26,CA,94129,ios,2016-07-13 22:58:01.501104
75300,complete,2,1994-01-10,NY,10472,ios,2016-07-08 13:13:29.728424
264741,complete,2,1966-02-10,CA,90250,android,2016-06-04 05:30:26.184185
86621,complete,1,1992-08-04,NJ,08251,ios,2016-07-15 18:39:55.931914
330757,closed,2,1971-03-19,TX,75219,ios,2016-07-13 22:59:23.65388
330768,complete,2,1991-11-06,MA,01923,ios,2016-07-13 22:59:39.261584
330769,complete,2,1989-11-30,FL,32821,ios,2016-07-13 22:59:57.113543
330762,complete,2,1992-07-22,OR,97062,android,2016-07-13 23:00:08.785475
330782,complete,1,1976-09-16,KY,40356,android,2016-07-13 23:00:44.713197
101807,complete,1,1989-10-11,FL,33013,ios,2016-06-24 00:31:29.92978
330781,complete,1,1989-10-13,ID,83706,android,2016-07-13 23:04:02.16399
330767,complete,2,1994-08-09,FL,32266,ios,2016-07-13 23:04:50.451538
330788,complete,1,1996-03-17,CA,96080,ios,2016-07-13 23:20:38.308674
330646,complete,3,1979-12-20,TX,78259,android,2016-07-13 23:06:15.530843
332066,complete,2,1992-02-15,OH,45220,ios,2016-07-14 11:41:52.078605
330778,complete,2,1981-10-24,TN,38506,android,2016-07-13 23:02:52.260021
330839,complete,2,1987-11-10,FL,33803,android,2016-07-13 23:34:50.810971
122321,complete,2,1992-02-06,TX,75207,ios,2016-06-24 17:21:15.018558
330790,complete,2,1978-02-27,NV,89129,android,2016-07-13 23:07:04.041587
330774,complete,1,1992-03-29,MD,21229,android,2016-07-13 23:05:45.243759
107771,complete,2,1976-08-07,TX,79903,ios,2016-06-19 15:41:52.669244
113631,complete,3,1979-03-08,GA,30317,ios,2016-07-14 03:47:57.605171
330799,complete,2,1993-09-09,KS,67601,ios,2016-07-13 23:07:23.742366
283594,complete,2,1983-12-21,MI,49508,ios,2016-06-24 14:57:50.34758
330758,complete,2,1990-02-15,IA,52001,ios,2016-07-13 23:08:01.236561
103666,complete,3,1987-04-28,CA,90036,ios,2016-07-09 20:47:38.420982
332068,complete,3,1961-10-07,NY,11518,ios,2016-07-14 11:44:26.355713
330775,complete,1,1992-09-06,TX,75048,ios,2016-07-13 23:10:07.080335
332065,complete,2,1989-06-11,TX,78756,android,2016-07-14 11:44:35.187665
330812,complete,1,1983-06-07,NC,28792,android,2016-07-13 23:13:11.695039
332067,complete,2,1991-01-02,NJ,07747,ios,2016-07-14 11:45:46.406653
330789,complete,2,1992-11-04,FL,32822,ios,2016-07-13 23:12:28.087744
282789,complete,3,1994-10-21,WA,98133,ios,2016-06-23 23:13:17.339227
282797,complete,3,1962-06-10,CA,92663,android,2016-06-23 23:49:29.254579
330802,complete,2,1986-03-13,IL,61301,android,2016-07-13 23:14:35.10717
330800,complete,2,1982-01-14,MN,55024,ios,2016-07-13 23:19:12.298602
330816,complete,2,1992-05-31,CA,93311,ios,2016-07-13 23:50:39.166238
332070,complete,2,1991-02-09,PA,15020,ios,2016-07-14 11:46:52.054452
330808,complete,3,1981-08-09,CT,06614,ios,2016-07-13 23:15:24.636282
330819,complete,2,1991-08-18,PA,18966,android,2016-07-13 23:17:51.541739
330813,complete,1,1975-04-04,NY,10031,ios,2016-07-13 23:16:17.457359
89481,complete,2,1996-10-14,TX,75702,ios,2016-06-17 05:22:09.234852
330818,complete,2,1979-02-02,NY,10452,android,2016-07-13 23:17:47.660216
89747,complete,2,1997-01-05,MI,48382,ios,2016-06-11 19:17:16.076542
330824,complete,1,1985-11-08,TX,76133,android,2016-07-13 23:19:32.994869
117563,closed,2,1986-09-12,OK,73119,ios,2016-06-18 14:37:35.190449
332061,complete,1,1996-08-15,LA,70710,android,2016-07-14 11:47:44.437387
263031,complete,2,1952-06-27,FL,34203,ios,2016-06-02 23:15:15.051167
171798,complete,2,1975-03-26,NC,27410,ios,2016-07-01 22:10:22.568607
330829,complete,2,1976-04-15,TN,37075,ios,2016-07-13 23:21:13.916526
122788,complete,3,1977-02-03,TX,77018,ios,2016-07-10 17:31:17.165048
330823,complete,1,1990-03-31,CA,95670,ios,2016-07-13 23:23:28.561328
330828,complete,3,1984-02-23,VA,20171,ios,2016-07-13 23:23:09.848562
283659,complete,1,1983-12-14,FL,33321,android,2016-06-24 15:50:11.730067
330833,complete,1,1995-11-07,CA,92122,ios,2016-07-13 23:23:53.625618
330830,complete,2,1974-12-17,TX,76015,android,2016-07-13 23:24:36.315394
318939,closed,1,1992-07-27,NJ,07031,android,2016-07-14 11:49:41.623071
263068,complete,2,1994-07-25,ME,03909,ios,2016-06-02 23:54:00.009662
332399,complete,2,1982-05-01,TX,78664,android,2016-07-14 15:39:36.57657
330844,closed,2,1993-12-05,CA,92027,ios,2016-07-13 23:30:52.543404
330785,complete,2,1984-11-17,LA,70119,android,2016-07-13 23:28:00.362768
332034,complete,2,1988-12-28,MD,21702,ios,2016-07-14 11:50:23.275821
296989,complete,2,1973-02-21,OR,97123,android,2016-07-13 23:28:36.432617
330508,complete,2,1987-07-04,SC,29910,android,2016-07-13 23:30:12.038784
63826,complete,1,1995-10-10,GA,30236,ios,2016-06-07 15:34:28.259583
330840,complete,2,1981-09-30,GA,30180,ios,2016-07-13 23:29:47.792942
283678,complete,1,1984-11-01,MA,01220,ios,2016-06-24 15:59:59.500986
330852,closed,2,1987-02-10,AZ,85296,ios,2016-07-13 23:30:33.024835
330851,complete,2,1993-05-06,NC,27520,ios,2016-07-13 23:29:52.952003
258294,complete,2,1991-02-16,OH,44145,ios,2016-06-01 18:19:00.000485
330869,complete,2,1994-10-25,FL,32547,android,2016-07-13 23:34:17.700308
330854,complete,2,1973-02-23,FL,34134,ios,2016-07-13 23:35:56.0903
330861,closed,1,1995-01-31,PA,19124,ios,2016-07-13 23:34:18.016377
64772,complete,1,1994-10-02,MD,20782,ios,2016-06-15 19:50:12.589049
330838,closed,2,1986-02-22,MD,21207,android,2016-07-13 23:36:46.476449
65218,complete,2,1989-08-10,NY,14608,ios,2016-06-29 02:47:22.373588
174115,complete,2,1989-12-11,NJ,07302,ios,2016-07-13 14:22:35.062309
108947,complete,2,1993-06-12,GA,30078,ios,2016-06-15 01:39:03.791132
330863,complete,2,1986-01-15,MA,01005,android,2016-07-13 23:35:33.156967
314379,complete,1,1974-10-02,KY,42103,ios,2016-07-16 12:47:03.382137
330881,complete,1,1992-07-07,GA,30314,ios,2016-07-13 23:56:13.592122
263039,complete,2,1977-12-06,AZ,85735,android,2016-06-02 23:25:04.28245
104285,complete,2,1988-09-04,KY,41042,android,2016-07-31 14:04:53.183003
263063,complete,2,1986-10-10,MI,48377,ios,2016-06-02 23:51:02.908106
330847,closed,2,1986-05-20,MD,21208,android,2016-07-13 23:38:07.106538
277174,complete,1,1990-08-02,FL,32789,android,2016-07-16 12:48:04.577254
109038,complete,2,1978-04-05,OR,97914,ios,2016-07-01 13:31:07.887529
330871,complete,2,1993-12-30,WA,98801,ios,2016-07-13 23:38:19.337115
330875,complete,2,1990-06-28,OK,74075,android,2016-07-13 23:38:13.055656
330882,complete,1,1964-03-25,OH,45505,android,2016-07-13 23:51:00.499767
109274,complete,2,1977-06-12,IL,60615,ios,2016-06-24 19:10:21.113809
330879,complete,1,1993-08-13,IL,60660,ios,2016-07-13 23:40:00.010515
330923,complete,2,1989-06-05,MO,63051,android,2016-07-13 23:54:42.198702
330867,complete,2,1976-10-21,TX,77382,android,2016-07-13 23:41:04.992648
72032,complete,2,1994-06-18,OH,43232,ios,2016-07-02 00:32:15.414916
330865,complete,2,1989-02-18,IN,47006,android,2016-07-13 23:42:50.015172
332063,closed,2,1980-05-30,OK,73116,ios,2016-07-14 11:50:55.606222
330916,complete,2,1990-05-21,NY,12572,ios,2016-07-13 23:50:12.223456
330866,complete,2,1986-04-25,IL,60503,ios,2016-07-13 23:41:33.878531
283907,complete,1,1991-03-27,WI,54911,android,2016-06-24 18:49:07.676003
72175,complete,2,1996-08-06,NJ,07052,ios,2016-06-05 23:36:26.429238
330888,complete,1,1995-06-23,MI,49503,android,2016-07-13 23:43:15.039497
330880,complete,2,1987-03-14,LA,71112,android,2016-07-13 23:43:09.400835
109609,complete,2,1992-07-05,NE,68947,ios,2016-06-24 20:44:43.763073
330841,closed,2,1990-03-19,IL,60103,ios,2016-07-13 23:44:23.579385
330877,complete,1,1961-12-25,CA,92284,android,2016-07-13 23:59:11.475011
282867,complete,2,1989-06-07,PA,15146,ios,2016-06-24 00:13:43.743141
330897,complete,2,1989-07-17,FL,33406,android,2016-07-13 23:46:34.934078
67613,complete,2,1997-05-11,GA,30004,ios,2016-07-18 22:45:59.116879
332073,complete,2,1980-10-09,NY,10901,ios,2016-07-14 11:55:45.826105
330889,closed,1,1975-04-16,AR,72034,android,2016-07-13 23:47:18.973398
330910,complete,2,1980-10-25,AZ,85042,ios,2016-07-13 23:48:43.323329
330909,complete,2,1988-01-14,AZ,85607,ios,2016-07-13 23:48:35.041379
126408,complete,2,1971-01-23,NJ,08210,ios,2016-06-22 15:44:36.068501
119252,complete,2,1966-11-03,GA,30043,ios,2016-07-06 19:25:00.973993
330893,complete,2,1992-06-02,CA,91335,ios,2016-07-13 23:49:44.832062
278682,complete,2,1986-05-24,MA,01013,android,2016-07-13 23:51:42.102506
332413,complete,1,1994-08-14,NY,11221,ios,2016-07-14 15:38:31.883185
283373,complete,2,1992-09-04,CA,92802,ios,2016-06-24 08:42:02.610438
336803,complete,2,1972-02-06,TX,75126,ios,2016-07-16 12:53:17.005158
330831,complete,2,1990-02-21,DC,20003,ios,2016-07-13 23:50:17.468308
330905,complete,1,1985-10-24,KY,42303,ios,2016-07-13 23:50:49.539318
332406,complete,2,1950-01-23,NJ,07202,ios,2016-07-14 15:39:16.545573
77360,complete,1,1996-06-04,MI,48393,ios,2016-06-18 20:40:16.983948
182533,complete,2,1982-07-26,OK,73754,ios,2016-06-24 18:46:35.733974
332412,complete,2,1984-01-26,GA,30019,ios,2016-07-14 15:42:41.688101
263278,complete,2,1987-02-22,MA,01905,android,2016-06-03 02:22:24.011665
268761,complete,2,1981-08-19,OR,97202,android,2016-06-07 14:18:54.868159
263091,complete,2,1989-01-26,MA,02660,ios,2016-06-03 00:18:08.900518
263157,complete,2,1960-10-18,CO,80916,ios,2016-06-03 01:05:52.773727
253606,closed,2,1993-05-27,IL,60077,ios,2016-06-07 14:21:40.997709
271513,complete,1,1990-08-03,AZ,85035,ios,2016-06-10 21:37:53.525903
274966,complete,2,1997-05-13,OK,74074,ios,2016-06-15 03:59:23.257063
268856,complete,2,1975-10-01,GA,31406,android,2016-06-07 16:23:44.312445
111160,complete,2,1988-04-21,KY,41224,ios,2016-06-17 22:05:26.466584
330912,complete,3,1988-12-27,IA,52722,android,2016-07-13 23:55:34.199843
263216,complete,2,1993-02-07,WI,54601,ios,2016-06-03 01:47:27.396727
263244,complete,2,1998-02-10,NJ,07760,ios,2016-06-03 01:56:19.789465
271515,complete,3,1986-03-07,CO,80211,ios,2016-06-10 21:37:20.276821
274611,complete,2,1959-07-03,NJ,07108,ios,2016-06-15 04:17:09.152353
263129,complete,3,1975-11-22,IL,60007,android,2016-06-03 00:45:02.02835
275032,complete,3,1984-04-18,PA,19147,android,2016-06-15 05:48:47.351656
279520,complete,2,1980-10-18,TX,78240,ios,2016-06-20 21:25:42.587293
280653,complete,1,1971-01-07,GA,30039,android,2016-06-21 23:18:47.474565
280684,complete,2,1966-07-01,IL,62677,android,2016-06-21 23:57:55.737316
280710,complete,2,1991-03-19,MA,01915,ios,2016-06-22 00:14:45.319739
161533,complete,2,1991-03-30,WI,53143,ios,2016-07-08 00:42:50.852201
263100,complete,2,1989-10-24,CO,80012,ios,2016-06-04 09:20:41.355247
263179,closed,2,1977-05-23,GA,31329,android,2016-06-03 01:23:27.628899
247328,complete,2,1989-05-31,MS,39540,android,2016-06-17 22:10:07.027055
271518,complete,1,1998-03-29,AZ,85234,ios,2016-06-10 21:38:22.830738
275001,closed,1,1988-04-30,CT,06877,ios,2016-06-15 04:47:28.259283
275022,complete,2,1993-03-07,MN,55124,ios,2016-06-15 06:15:30.916944
271523,complete,3,1971-10-01,RI,02875,ios,2016-06-10 21:44:29.879231
275064,in_closing_process,2,1991-05-22,NE,68516,ios,2016-06-15 06:41:19.978764
275127,complete,2,1984-10-07,OH,45429,android,2016-06-15 10:42:13.06559
276888,complete,1,1991-03-08,AZ,85719,android,2016-06-17 22:12:41.726811
215417,complete,1,1997-06-08,LA,71037,ios,2016-06-10 20:52:36.520505
263390,complete,2,1978-04-06,LA,70774,ios,2016-06-03 03:43:29.873569
268806,complete,2,1980-11-19,OH,43055,android,2016-06-07 15:31:46.947019
263099,complete,1,1994-11-16,ND,58103,ios,2016-06-03 00:21:18.021747
263233,complete,1,1996-05-29,VA,22407,ios,2016-06-03 01:49:42.870357
263473,complete,2,1995-10-17,NJ,08691,ios,2016-06-03 03:50:25.742713
268771,complete,2,1995-02-14,VA,23661,ios,2016-06-07 14:26:01.32263
271525,complete,1,1990-09-24,MA,02301,ios,2016-06-12 01:14:47.221592
271544,closed,2,1969-01-12,AR,72565,ios,2016-06-10 22:21:18.60961
275024,complete,2,1988-03-01,AL,36351,android,2016-06-15 06:21:45.028227
275051,complete,2,1963-12-12,VA,22152,ios,2016-06-15 06:14:26.183073
275075,closed,2,1991-08-24,NY,11238,ios,2016-06-15 07:19:27.482927
279521,complete,1,1983-12-07,MT,59715,ios,2016-06-20 21:26:12.782197
263281,complete,2,1996-06-15,IL,60707,ios,2016-06-03 02:11:46.132959
268765,complete,2,1993-12-25,NC,27403,android,2016-06-07 14:26:34.392632
271532,complete,2,1997-10-30,NY,11787,ios,2016-06-10 21:50:13.566676
35617,complete,2,1985-01-01,FL,33609,ios,2016-06-11 02:27:06.189816
79060,complete,2,1994-03-29,MI,49548,ios,2016-06-15 05:12:21.426116
330921,closed,2,1987-07-02,FL,33133,ios,2016-07-13 23:53:57.679927
263221,complete,2,1985-12-07,TX,76028,android,2016-06-04 19:18:24.838172
271696,complete,2,1985-01-02,OH,45322,ios,2016-06-11 03:29:04.488943
330914,complete,1,1995-05-24,CA,92019,android,2016-07-13 23:54:04.626738
291185,complete,2,1958-09-20,NJ,08020,ios,2016-06-29 12:04:55.791567
263131,complete,1,1976-08-17,IA,52569,android,2016-06-03 00:46:54.78358
330919,complete,2,1989-07-21,FL,33711,android,2016-07-14 00:01:53.163006
222914,complete,2,1994-06-24,MI,49048,android,2016-07-08 01:25:20.243668
253124,complete,2,1980-05-30,WI,53404,ios,2016-06-01 19:32:56.082448
330920,complete,1,1978-04-11,TX,78217,android,2016-07-13 23:55:25.83058
263135,complete,1,1996-02-07,KY,40071,ios,2016-06-03 00:51:15.262401
271632,complete,1,1955-08-06,MO,64507,ios,2016-06-11 01:08:21.140337
275041,complete,2,1985-05-20,NY,11102,android,2016-06-15 06:18:58.635941
201391,closed,2,1994-03-21,TN,37013,android,2016-06-02 17:34:07.637109
263152,complete,2,1962-11-28,TX,76210,ios,2016-06-03 01:09:03.212552
330928,complete,2,1988-04-24,CA,92264,android,2016-07-13 23:55:47.787699
332079,complete,3,1974-08-13,TX,79763,android,2016-07-14 12:07:12.792877
271531,complete,1,1996-05-31,GA,30305,ios,2016-06-11 19:56:58.050359
271554,complete,1,1988-01-05,IN,46725,android,2016-06-10 22:42:08.265167
271692,complete,2,1981-02-21,MO,63113,android,2016-06-11 03:20:12.221974
263230,complete,1,1982-11-25,FL,33056,ios,2016-06-15 05:20:58.528494
330933,complete,2,1988-12-19,NY,11236,ios,2016-07-22 15:47:04.038512
